order,peak,fsr,min,max,plate_peak,plate_min,plate_max,length_peak,length_min,length_max
135,453.9923907547,3.3629065982,452.3109374556,455.6738440538,0.0007275519,0.0007248573,0.0007302465,4622.2222222222,4639.405204461,4605.1660516605
136,450.6542114109,3.3136339074,448.9973944572,452.3110283646,0.0007222023,0.0007195471,0.0007248574,4588.2352941177,4605.1660516605,4571.4285714286
137,447.3647646123,3.265436238,445.7320464932,448.9974827313,0.0007169307,0.0007143142,0.0007195472,4554.7445255475,4571.4285714286,4538.1818181818
138,444.1229909557,3.2182825432,442.5138496841,445.7321322272,0.0007117356,0.0007091568,0.0007143143,4521.7391304348,4538.1818181818,4505.4151624549
139,440.9278615243,3.1721428887,439.34179008,442.5139329686,0.0007066152,0.0007040734,0.0007091569,4489.2086330935,4505.4151624549,4473.1182795699
140,437.7783767991,3.1269884057,436.2148825963,439.341871002,0.0007015679,0.0006990623,0.0007040735,4457.1428571429,4473.1182795699,4441.28113879
141,434.6735656162,3.0827912455,433.1321699934,436.2149612389,0.0006965923,0.0006941221,0.0006990624,4425.5319148936,4441.28113879,4409.8939929329
142,431.6124841682,3.0395245364,430.0927219,433.1322464364,0.0006916867,0.0006892512,0.0006941222,4394.3661971831,4409.8939929329,4378.9473684211
143,428.5942150481,2.997162343,427.0956338766,430.0927962196,0.0006868497,0.0006844481,0.0006892513,4363.6363636364,4378.9473684211,4348.4320557491
144,425.6178663325,2.9556796273,424.1400265188,427.0957061462,0.0006820799,0.0006797116,0.0006844482,4333.3333333333,4348.4320557491,4318.339100346
145,422.6825707026,2.9150522117,421.2250445967,424.1400968085,0.0006773759,0.0006750401,0.0006797117,4303.4482758621,4318.339100346,4288.6597938144
146,419.7874846019,2.8752567438,418.34985623,421.2251129738,0.0006727364,0.0006704325,0.0006750402,4273.9726027397,4288.6597938144,4259.385665529
147,416.9317874278,2.8362706628,415.5136520964,418.3499227591,0.0006681599,0.0006658873,0.0006704326,4244.8979591837,4259.385665529,4230.5084745763
148,414.1146807559,2.7980721673,412.7156446723,415.5137168396,0.0006636453,0.0006614033,0.0006658874,4216.2162162162,4230.5084745763,4202.0202020202
149,411.3353875965,2.7606401852,409.9550675039,412.7157076891,0.0006591913,0.0006569793,0.0006614034,4187.9194630873,4202.0202020202,4173.9130434783
150,408.5931516792,2.7239543445,407.2311745069,409.9551288515,0.0006547967,0.0006526141,0.0006569794,4160,4173.9130434783,4146.1794019934
151,405.8872367674,2.6879949455,404.5432392947,407.2312342402,0.0006504603,0.0006483065,0.0006526142,4132.4503311258,4146.1794019934,4118.8118811881
152,403.2169259992,2.6527429342,401.8905545321,404.5432974663,0.000646181,0.0006440554,0.0006483066,4105.2631578947,4118.8118811881,4091.8032786885
153,400.5815212541,2.6181798775,399.2724313154,401.8906111929,0.0006419576,0.0006398597,0.0006440555,4078.431372549,4091.8032786885,4065.1465798046
154,397.9803425447,2.5842879386,396.6881985754,399.272486514,0.000637789,0.0006357183,0.0006398598,4051.9480519481,4065.1465798046,4038.8349514563
155,395.4127274315,2.5510498544,394.1372025043,396.6882523587,0.0006336742,0.0006316301,0.0006357184,4025.8064516129,4038.8349514563,4012.8617363344
156,392.8780304608,2.5184489132,391.6188060042,394.1372549174,0.0006296122,0.0006275942,0.0006316302,4000,4012.8617363344,3987.2204472844
157,390.3756226234,2.4864689339,389.1323881565,391.6188570904,0.000625602,0.0006236096,0.0006275943,3974.5222929936,3987.2204472844,3961.9047619048
158,387.9048908347,2.4550942458,386.6773437118,389.1324379576,0.0006216425,0.0006196752,0.0006236097,3949.3670886076,3961.9047619048,3936.9085173502
159,385.4652374332,2.4243096694,384.2530825985,386.6773922679,0.0006177328,0.0006157902,0.0006196753,3924.5283018868,3936.9085173502,3912.2257053292
160,383.0560796992,2.3941004981,381.8590294502,384.2531299483,0.0006138719,0.0006119536,0.0006157903,3900,3912.2257053292,3887.8504672897
161,380.6768493906,2.3644524807,379.4946231502,381.8590756309,0.0006100591,0.0006081645,0.0006119536,3875.7763975155,3887.8504672897,3863.7770897833
162,378.3269922956,2.3353518043,377.1593163934,379.4946681977,0.0006062933,0.000604422,0.0006081645,3851.8518518519,3863.7770897833,3840
